GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC000500,438,507,426,34,30,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000501,357,457,293,75,21,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000502,38,29,41,15,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000504,0,0,0,0,0,0,158,147,84,22,264,381,158,181,40,359,15,49,38,10,10,33,7,16,9,38
TC000505,0,0,0,0,0,0,32,9,37,1,54,50,41,26,43,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000506,869,504,861,177,19,177,33,47,30,7,149,178,106,87,17,137,3,2,6,7,3,19,12,4,3,9
TC000508,991,689,1074,246,31,262,92,184,117,16,1565,156,186,150,87,247,235,782,249,449,176,256,1029,133,496,334
TC000509,2132,1201,2178,550,90,544,302,281,206,26,2335,330,79,107,40,291,13,0,10,39,1,3,0,0,2,2
TC000511,668,318,654,199,9,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000514,3464,3316,3581,1373,223,1503,704,928,794,66,11131,588,616,483,194,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000515,76,369,28,4,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000517,3387,2844,4216,601,51,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000518,17,22,15,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000520,154,339,158,114,2,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000522,3645,9236,3418,4099,1244,7415,0,0,2,0,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
